"Data","Study","sample_ids","GEO.series.accession.or.data.source","GEO.sample.accession.or.dataset.name","Author.described.protocol","Protocol.classification.region","Original.protocol.cited","Batch.variable","Age","Condition","Donor.ID..cell.line","Sequencing.platform","Normalization.of.available.data","Normalization.for.this.study","unprocessed_seurat_path","processed_seurat_path","pre_qc_cell_number","post_qc_cell_number","mean_mito","median_mito","mean_feature","median_feature","mean_count","median_count","dividing_cons_coexp_metric","intProg_cons_coexp_metric","nProg_cons_coexp_metric","glut_cons_coexp_metric","gaba_cons_coexp_metric","nonN_cons_coexp_metric","micro_cons_coexp_metric","egad_auc_gaba_markers","egad_auc_glut_markers","egad_auc_nonN_markers","egad_auc_intProg_markers","egad_auc_divProg_markers","egad_auc_nProg_markers","egad_auc_micro_markers","go_nProg_missing_ratio","go_nProg_no_exp_ratio","go_nProg_mean_counts","go_nProg_median_counts","go_divProg_missing_ratio","go_divProg_no_exp_ratio","go_divProg_mean_counts","go_divProg_median_counts","go_intProg_missing_ratio","go_intProg_no_exp_ratio","go_intProg_mean_counts","go_intProg_median_counts","go_glut_missing_ratio","go_glut_no_exp_ratio","go_glut_mean_counts","go_glut_median_counts","go_gaba_missing_ratio","go_gaba_no_exp_ratio","go_gaba_mean_counts","go_gaba_median_counts","go_nonN_missing_ratio","go_nonN_no_exp_ratio","go_nonN_mean_counts","go_nonN_median_counts","go_micro_missing_ratio","go_micro_no_exp_ratio","go_micro_mean_counts","go_micro_median_counts","treatment","genome_cons_coexp_score"
"","Fiorenzano et al. 2021","fiorenzano_2","GSE168323","GSM5136256","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_15","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136256_2standardorgday15.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136256_2standardorgday15_processed.Rdata",6904,6608,3.70963128093845,3.1625468239934,3151.96368038741,2994,13913.8907384988,12051.5,0.999439120285947,0.753842560499648,0.680107564151812,0.780965336547252,0.6847801375156,0.639345868174715,0.485161465298253,0.559840345106549,0.817821288388544,0.657472,0.75385311712357,0.861607679140809,0.583335596069304,0.624543331475034,0,0.0394736842105263,10903.25,1197,0,0,4021.47474747475,1807,0,0.0126582278481013,914.493670886076,328,0,0.0326086956521739,724.478260869565,106.5,0,0.0481927710843374,867.614457831325,115,0,0,2685.2,663,0.0202020202020202,0.164948453608247,3999.05154639175,89,"Normal",0.682428451325274
"","Fiorenzano et al. 2021","fiorenzano_3","GSE168323","GSM5136257","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_30","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136257_5standardorgday30.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136257_5standardorgday30_processed.Rdata",3948,3908,2.53634208865424,2.12821431183459,2840.14099283521,2836,9927.96443193449,9155.5,0.999501711493591,0.794876045547349,0.821263651419137,0.86067625203059,0.718101581248868,0.762817793674577,0.484845213701127,0.645343319099604,0.8094917292098,0.780355878787879,0.738051140298849,0.963518001234617,0.811434251357642,0.663505841385556,0,0.0131578947368421,3500.22368421053,360.5,0,0,735.151515151515,304,0,0.0253164556962025,850.886075949367,237,0,0.0326086956521739,2382.63043478261,265,0,0.036144578313253,730.204819277108,111,0,0,1068.25333333333,275,0.0202020202020202,0.144329896907216,1834.67010309278,62,"Normal",0.70540484756655
"","Fiorenzano et al. 2021","fiorenzano_4","GSE168323","GSM5136258","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_60","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136258_14standardorgday60.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136258_14standardorgday60_processed.Rdata",3283,3282,2.87116403188765,2.68053367563257,1481.55758683729,1329,3205.53412553321,2593.5,0.99718725268051,0.653231552754445,0.726350514257513,0.797338403940762,0.627885227409711,0.741269080187539,0.536673711839259,0.577049564155674,0.801361391476881,0.791727191919192,0.508262985579799,0.992626130240809,0.773995021980864,0.630334704748568,0,0.0131578947368421,725.105263157895,114.5,0,0,105.565656565657,48,0,0.0886075949367089,147.873417721519,48,0,0.0326086956521739,483.467391304348,62.5,0,0.036144578313253,218.10843373494,51,0,0,415.866666666667,147,0.0202020202020202,0.185567010309278,1298.88659793814,43,"Normal",0.658186727503215
"","Fiorenzano et al. 2021","fiorenzano_5","GSE168323","GSM5136259","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_60","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136259_16standardorgday60.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136259_16standardorgday60_processed.Rdata",1919,1918,2.74050137520252,2.43062231507176,1297.68300312826,1151.5,2816.9275286757,2266.5,0.897798493416938,0.579608316288666,0.757746711321297,0.748322123497679,0.583882535798373,0.749278618267356,0.554773043402267,0.497143373830897,0.749936378536922,0.793287757575758,0.49936304663282,0.941507203484777,0.78857964830618,0.602121158186398,0,0.0263157894736842,342.539473684211,53,0,0.0101010101010101,45.8080808080808,13,0,0.151898734177215,70.5569620253165,14,0,0.0760869565217391,241.402173913043,37,0,0.0963855421686747,94,18,0,0,197.4,60,0.0202020202020202,0.206185567010309,532.422680412371,16,"Normal",0.61502306798894
"","Fiorenzano et al. 2021","fiorenzano_6","GSE168323","GSM5136260","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_60","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136260_15standardorgday60.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136260_15standardorgday60_processed.Rdata",5517,5511,2.97493487108343,2.78907611853574,1597.01469787697,1457,3692.7795318454,3024,0.998457971371114,0.673962406488864,0.766290025719235,0.804193837515,0.648796636592287,0.744989092432371,0.525922963991503,0.579653492233725,0.805725931677019,0.79965802020202,0.440742509192148,0.989741598304289,0.761685091802431,0.676959145358738,0,0.0263157894736842,1512.10526315789,233,0,0,233.929292929293,103,0,0.0506329113924051,287.177215189873,70,0,0.0108695652173913,785.054347826087,116,0,0.072289156626506,349.21686746988,82,0,0,967.573333333333,346,0.0202020202020202,0.154639175257732,2537.9381443299,69,"Normal",0.667841549442946
"","Fiorenzano et al. 2021","fiorenzano_7","GSE168323","GSM5136261","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_30","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136261_1standardorgday30.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136261_1standardorgday30_processed.Rdata",3475,3426,2.94700256932123,2.96689588917173,2900.7133683596,2817,10688.9211908932,9727.5,0.999230645670783,0.772416945101996,0.700211051639442,0.807364394437708,0.672578874636251,0.674851918088517,0.507583544859392,0.628909859237582,0.810323121549344,0.694117494949495,0.765849538496355,0.958269653478624,0.66959141453323,0.667374683684572,0,0.0263157894736842,4871.32894736842,446.5,0,0,695.878787878788,276,0,0.0253164556962025,470.455696202532,163,0,0.0543478260869565,542.108695652174,72,0,0.0481927710843374,605.493975903614,59,0,0.04,1047.76,214,0.0202020202020202,0.123711340206186,3811.9175257732,93,"Normal",0.679845601165454
"","Fiorenzano et al. 2021","fiorenzano_8","GSE168323","GSM5136262","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_60","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136262_13standardorgday60.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136262_13standardorgday60_processed.Rdata",1829,1808,3.12724616338777,2.52922354731705,2415.08296460177,2365,7229.58075221239,6109.5,0.999171227964306,0.652622625243892,0.69548441073441,0.760749384781243,0.618584289305708,0.735475888958706,0.492092318613658,0.578311856989647,0.790961169340925,0.80939701010101,0.464204402034769,0.983033578344486,0.670779027670029,0.59792453931088,0,0.0394736842105263,2055.32894736842,192.5,0,0,224.313131313131,103,0,0.0379746835443038,246.291139240506,47,0,0.0326086956521739,215.369565217391,32.5,0,0.036144578313253,234.361445783133,32,0,0.0133333333333333,954.053333333333,256,0.0202020202020202,0.175257731958763,2197.11340206186,40,"Normal",0.650494388135495
"","Fiorenzano et al. 2021","fiorenzano_9","GSE168323","GSM5136263","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_30","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136263_4standardorgday30.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136263_4standardorgday30_processed.Rdata",1540,1508,2.85738375995819,2.43510576036142,2890.31896551724,3036.5,10473.8912466844,9536,0.98041578724067,0.687489162895222,0.691408191741861,0.801461367834619,0.67721940010028,0.689327017577779,0.494296388409202,0.594768371061398,0.779492052708765,0.781521777777778,0.632268076232966,0.988438827378685,0.708642358417378,0.556604832853559,0,0.0394736842105263,1764.15789473684,140,0,0,144.161616161616,41,0,0.0632911392405063,138.20253164557,46,0,0.0869565217391304,414.25,48,0,0.0481927710843374,302.409638554217,30,0,0,510.493333333333,93,0.0202020202020202,0.206185567010309,2018.61855670103,32,"Normal",0.652297773467335
"","Fiorenzano et al. 2021","fiorenzano_10","GSE168323","GSM5136264","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_60","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136264_12standardorgday60.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136264_12standardorgday60_processed.Rdata",2708,2659,4.00714880557108,3.60560872468284,2651.95712673938,2642,8079.42873260624,6867,0.994877822646202,0.705174186001122,0.786491931893633,0.819529990732315,0.649228389220277,0.778835774243962,0.489837106626222,0.654256016699631,0.816772073412698,0.826741656565657,0.615063807246534,0.991896539297151,0.79960466770106,0.609850507404024,0,0.0131578947368421,2542.92105263158,271.5,0,0,160.333333333333,68,0,0.0506329113924051,302.569620253165,76,0,0.0108695652173913,657.815217391304,122.5,0,0.0602409638554217,430.951807228916,76,0,0,992.76,319,0.0202020202020202,0.144329896907216,2205.58762886598,56,"Normal",0.675868184871748
"","Fiorenzano et al. 2021","fiorenzano_11","GSE168323","GSM5136265","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_30","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136265_3standardorgday30.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136265_3standardorgday30_processed.Rdata",1858,1766,2.49498636424591,2.10404018148583,3208.08380520951,3342,11971.1823329558,11530,0.998731527171761,0.767897818873969,0.789646544947608,0.820300721660534,0.673083973964396,0.746101084312114,0.521154607606345,0.522176952137664,0.792767911059351,0.771298909090909,0.743949720163289,0.978594743120737,0.776470455133178,0.673067993659227,0,0.0394736842105263,2063.47368421053,199.5,0,0,342.666666666667,136,0,0.0253164556962025,419.379746835443,121,0,0.0434782608695652,1239.39130434783,115,0,0.0481927710843374,432.060240963855,81,0,0,622.213333333333,140,0.0202020202020202,0.195876288659794,1409.78350515464,40,"Normal",0.687770466020474
"","Fiorenzano et al. 2021","fiorenzano_12","GSE168323","GSM5136266","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_30","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136266_2standardorgday30.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136266_2standardorgday30_processed.Rdata",2009,1912,2.37304446626014,2.14044623822156,3040.53661087866,3080.5,11083.6286610879,10105,0.998675722374306,0.72515285135928,0.743351921056447,0.801633061677388,0.665226413896681,0.686044919200219,0.487465622438313,0.615150987109403,0.798523227225673,0.703609212121212,0.726616133167707,0.982788420097289,0.778005559865529,0.571476132128528,0,0.0263157894736842,2484.19736842105,193.5,0,0,350.454545454545,132,0,0.0759493670886076,249.012658227848,77,0,0.0543478260869565,507.5,58.5,0,0.0602409638554217,384.686746987952,42,0,0.0133333333333333,621.066666666667,111,0.0202020202020202,0.195876288659794,2052.09278350515,31,"Normal",0.66868865529373
"","Fiorenzano et al. 2021","fiorenzano_13","GSE168323","GSM5136267","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_120","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136267_1standardorgday120.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136267_1standardorgday120_processed.Rdata",7497,7458,10.4978742627598,10.1875699392366,2621.36725663717,2552.5,8667.01354250469,7753,0.847920526742606,0.595446274575066,0.678863513791972,0.752295459464912,0.642990716794385,0.741956369729486,0.484284968687308,0.626377489031286,0.74482132073844,0.83374804040404,0.452034831308387,0.927494938707987,0.647119213860874,0.615713957202234,0,0.0131578947368421,22247.2368421053,871,0,0,230.131313131313,42,0,0.0632911392405063,1578.78481012658,109,0,0.0217391304347826,1165.16304347826,73.5,0,0.0602409638554217,996.301204819277,47,0,0.0133333333333333,5723.36,1036,0.0202020202020202,0.134020618556701,13737.4329896907,246,"Normal",0.629701000298182
"","Fiorenzano et al. 2021","fiorenzano_14","GSE168323","GSM5136268","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_120","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136268_2standardorgday120.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136268_2standardorgday120_processed.Rdata",6349,6306,11.1721262400228,11.6881815057437,2315.55106248018,2184,9137.98636219474,7370.5,0.999100288007437,0.594944203823838,0.618563640480194,0.70404452481575,0.590066428408787,0.649070230557301,0.470854711746007,0.544883552288445,0.738814214544513,0.712151595959596,0.59240300216732,0.960567276571354,0.62133986294285,0.569303294583621,0,0.0131578947368421,15114.0657894737,481.5,0,0,708.252525252525,319,0,0.0506329113924051,1169.54430379747,82,0,0.0434782608695652,604.25,41.5,0,0.0602409638554217,510.144578313253,36,0,0.0133333333333333,6129.06666666667,660,0.0202020202020202,0.175257731958763,14512.2680412371,140,"Normal",0.646967954335462
"","Fiorenzano et al. 2021","fiorenzano_15","GSE168323","GSM5136269","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_120","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136269_3standardorgday120.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136269_3standardorgday120_processed.Rdata",5527,5434,11.5450023039682,11.8524732027083,2365.45785793154,2225.5,9476.41737210158,7695.5,0.993308404261084,0.574062808402435,0.669086706386053,0.729055767925405,0.600199512341987,0.69365553353634,0.466932288714395,0.503390765262037,0.721254151570048,0.762645333333333,0.380304058969012,0.985770034699698,0.680343612619602,0.561666615183435,0,0.0131578947368421,10968.3684210526,595,0,0,292.141414141414,97,0,0.0506329113924051,1038.87341772152,77,0,0.0543478260869565,542.358695652174,44,0,0.0602409638554217,572.855421686747,35,0,0,4605.46666666667,807,0.0202020202020202,0.154639175257732,10665.1134020619,181,"Normal",0.643121124600508
"","Fiorenzano et al. 2021","fiorenzano_16","GSE168323","GSM5136270","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_120","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136270_4standardorgday120.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136270_4standardorgday120_processed.Rdata",6317,6258,8.83599887892194,8.78027582496695,2808.24065196548,2891.5,8778.38670501758,8304,0.948088575835205,0.644731102138909,0.767330052074456,0.826947868747728,0.703285489582672,0.814602445744115,0.468502952088432,0.664148368510464,0.853921077035887,0.846233858585859,0.535739953918025,0.977372384100213,0.785720519782777,0.566714178334973,0,0.0131578947368421,11228.3947368421,1137,0,0,297.333333333333,72,0,0.0253164556962025,1105.63291139241,155,0,0.0108695652173913,1484.26086956522,130,0,0.036144578313253,860.240963855422,92,0,0,4656.02666666667,1091,0.0202020202020202,0.103092783505155,9539.94845360825,158,"Normal",0.654982769555013
"","Fiorenzano et al. 2021","fiorenzano_17","GSE168323","GSM5136271","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_120","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136271_5standardorgday120.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136271_5standardorgday120_processed.Rdata",5519,5454,5.36458093245109,5.09652488816157,3016.14778144481,3071,10058.1870187019,9385.5,0.940472465971524,0.62958482187379,0.745698578700606,0.831188648872432,0.676725773022973,0.7229216814088,0.484921060379033,0.647665506770453,0.889303776311249,0.787933737373737,0.59276173529847,0.99181269517661,0.780158714765968,0.692423237275429,0,0.0131578947368421,10510.1315789474,1096,0,0,224.212121212121,54,0,0.0253164556962025,1251.08860759494,178,0,0.0108695652173913,1503.82608695652,146,0,0,1019.26506024096,109,0,0,3970.05333333333,832,0.0202020202020202,0.154639175257732,9142,174,"Normal",0.643543073485572
"","Fiorenzano et al. 2021","fiorenzano_18","GSE168323","GSM5136272","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_120","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136272_6standardorgday120.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136272_6standardorgday120_processed.Rdata",6656,6638,11.5852523164528,11.7658954225836,2275.47559505875,2209.5,6928.85763784272,6145.5,0.999373892631179,0.623275745504093,0.780093477082915,0.79844834579182,0.700136385844989,0.772114521404289,0.492333162940732,0.693741590453042,0.81505294599724,0.815092363636364,0.37855453551831,0.976736443606984,0.818815296095164,0.647401886443681,0,0.0131578947368421,7515.86842105263,720,0,0,608.69696969697,268,0,0.0253164556962025,882.063291139241,118,0,0,1368.92391304348,152.5,0,0.036144578313253,645.10843373494,98,0,0,4226.50666666667,868,0.0202020202020202,0.175257731958763,6654.19587628866,232,"Normal",0.674019433534075
"","Fiorenzano et al. 2021","fiorenzano_19","GSE168323","GSM5136273","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_90","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136273_1standardorgday90.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136273_1standardorgday90_processed.Rdata",5901,5882,9.13579809944996,9.01973245738213,2275.62461747705,2195,6272.04046242775,5477,0.982482566493393,0.649769277503914,0.750994330829248,0.818548556573857,0.67166779156842,0.807284708460212,0.496898195547236,0.652147005617443,0.815548708160801,0.838014383838384,0.524534361908883,0.983734730931469,0.778830165502974,0.657399194606126,0,0.0131578947368421,7798.76315789474,737.5,0,0,178.636363636364,53,0,0.0379746835443038,783.53164556962,119,0,0.0108695652173913,1203.69565217391,156,0,0.0602409638554217,606.843373493976,95,0,0.0133333333333333,3494.32,749,0.0202020202020202,0.123711340206186,6435.16494845361,102,"Normal",0.653089943009226
"","Fiorenzano et al. 2021","fiorenzano_20","GSE168323","GSM5136274","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_90","Normal","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136274_2standardorgday90.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136274_2standardorgday90_processed.Rdata",4933,4881,8.45517618335143,8.26485312175309,2731.08871132965,2740,8730.56504814587,7910,0.973596177346963,0.637766751854315,0.758300972293947,0.845590284272045,0.703452215745868,0.811309488133791,0.483335017730107,0.65752252875339,0.842766563146998,0.860717898989899,0.465534885398132,0.977592536206196,0.812498707008017,0.668321975151741,0,0.0131578947368421,8631.3552631579,772.5,0,0,198.606060606061,59,0,0.0379746835443038,816.987341772152,89,0,0.0326086956521739,1274.51086956522,165.5,0,0.036144578313253,704.975903614458,112,0,0.0133333333333333,3650.33333333333,733,0.0202020202020202,0.154639175257732,6727.48453608247,123,"Normal",0.66126823164215
"","Fiorenzano et al. 2021","fiorenzano_21","GSE168323","GSM5136275","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_30","silk","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136275_SilkDay30-06silk.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136275_SilkDay30-06silk_processed.Rdata",4078,3953,4.3071691586134,3.82172348083845,2892.40475588161,2924,10918.1479888692,10245,0.999416319900635,0.762121343758164,0.738708021806655,0.837521593075085,0.682951827611087,0.677574137625469,0.487774428513469,0.62919010261818,0.819466280624569,0.679982222222222,0.763001744549681,0.973064463380467,0.657202935091802,0.608598484235589,0,0.0131578947368421,5291.19736842105,461,0,0,795.040404040404,311,0,0.0253164556962025,592.050632911392,223,0,0.0326086956521739,758.5,104.5,0,0.0481927710843374,653.168674698795,60,0,0.0133333333333333,1292.78666666667,222,0.0202020202020202,0.164948453608247,2974.80412371134,82,"Treated",0.698952666858605
"","Fiorenzano et al. 2021","fiorenzano_22","GSE168323","GSM5136276","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_30","silk","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136276_SilkDay30-07silk.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136276_SilkDay30-07silk_processed.Rdata",4721,4536,4.560015416329,3.90128645574038,3037.76410934744,3067,11826.311287478,11018.5,0.999343719958539,0.778549170934717,0.731147781302548,0.836855176138549,0.67322379566116,0.702179322345208,0.488045665217109,0.63867077211243,0.844070803140097,0.699267232323232,0.75612519724105,0.977227740734367,0.645642617015775,0.662983654319026,0,0.0263157894736842,6531.06578947368,707,0,0,1005.68686868687,393,0,0.0126582278481013,739.113924050633,302,0,0.0434782608695652,845.097826086957,136,0,0.036144578313253,801.33734939759,90,0,0,1630.01333333333,279,0.0202020202020202,0.154639175257732,3686.29896907217,114,"Treated",0.700054202179365
"","Fiorenzano et al. 2021","fiorenzano_23","GSE168323","GSM5136277","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_30","silk","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136277_SilkDay30-08silk.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136277_SilkDay30-08silk_processed.Rdata",3529,3278,4.30703082083761,3.70477088502895,3399.46369737645,3487,14017.4438682123,13330.5,0.999113274950676,0.766016797282969,0.714447322630129,0.822940041652044,0.669910003977435,0.686899576264359,0.501791587878397,0.621871438947962,0.816903899240856,0.678237414141414,0.77903935370838,0.981810238690973,0.671415826221877,0.717980984545714,0,0.0131578947368421,6752.98684210526,610.5,0,0,703.858585858586,283,0,0.0126582278481013,692.493670886076,198,0,0.0434782608695652,749.184782608696,93.5,0,0.072289156626506,808.55421686747,66,0,0.0266666666666667,1482.8,301,0.0202020202020202,0.175257731958763,3302.59793814433,104,"Treated",0.692262941076065
"","Fiorenzano et al. 2021","fiorenzano_24","GSE168323","GSM5136278","ventral midbrain","directed ventral midbrain","Authors developed the protocol","Age/Condition","day_30","silk","No cell-line annotations","scRNA-seq 10X","raw counts","CPM","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136278_SilkDay30-09silk.csv_seurat.Rdata","/home/werner/projects/meta_qc_organoid/data/seurat_objs/individual/organoids/fiorenzo_2021_GSM5136278_SilkDay30-09silk_processed.Rdata",4412,4365,2.81047126754697,2.05194348361377,2593.34547537228,2700,8979.15143184422,8423,0.999461969494354,0.798989403651791,0.839355136596869,0.865447533555954,0.729666600084906,0.775142829522935,0.472875768170369,0.63985402194162,0.799261074447895,0.778901333333333,0.750938488148129,0.972781060446708,0.833573183346263,0.652728684838777,0,0.0263157894736842,3530.42105263158,366.5,0,0,749.646464646465,307,0,0.0253164556962025,858.379746835443,238,0,0.0326086956521739,2398.54347826087,266.5,0,0.036144578313253,736.421686746988,115,0,0,1078.73333333333,277,0.0202020202020202,0.185567010309278,1849.48453608247,64,"Treated",0.708891550925683
